Original_2theta,Original_intensity,NVT-Langevin_2theta,NVT-Langevin_intensity,NVT-Berendsen_2theta,NVT-Berendsen_intensity,NPT-Berendsen_2theta,NPT-Berendsen_intensity
29.93993993993994,6.229463452067176e-06,29.93993993993994,6.229459646534613e-06,29.93993993993994,6.229456979026428e-06,29.93993993993994,4.343078871281696e-09
30.02002002002002,1.626581184190591e-06,30.02002002002002,1.626580190524327e-06,30.02002002002002,1.6265794940087024e-06,30.02002002002002,7.996196675845059e-10
30.1001001001001,3.955085022432144e-07,30.1001001001001,3.955082606300322e-07,30.1001001001001,3.955080912699939e-07,30.1001001001001,1.3709581748893613e-10
30.18018018018018,8.955521512369501e-08,30.18018018018018,8.955516041508475e-08,30.18018018018018,8.955512206679494e-08,30.18018018018018,2.1888721542515187e-11
30.26026026026026,1.888343147860526e-08,30.26026026026026,1.888341994285865e-08,30.26026026026026,1.8883411856815704e-08,30.26026026026026,3.2545923438142403e-12
30.34034034034034,3.7078822136336977e-09,30.34034034034034,3.707879948519213e-09,30.34034034034034,3.7078783607716077e-09,30.34034034034034,4.520065391903656e-13
30.42042042042042,6.779941090865093e-10,30.42042042042042,6.779936949355504e-10,30.42042042042042,6.779934045972422e-10,30.42042042042042,6.775557335698971e-14
30.5005005005005,1.1544653135883596e-10,30.5005005005005,1.1544646112413788e-10,30.5005005005005,1.1544641154080165e-10,30.5005005005005,6.80935380781067e-14
30.58058058058058,1.8305889440909084e-11,30.58058058058058,1.8305880833047468e-11,30.58058058058058,1.83058716819136e-11,30.58058058058058,3.608481554437561e-13
30.66066066066066,2.7030604555006306e-12,30.66066066066066,2.7030800441372838e-12,30.66066066066066,2.7030680616141794e-12,30.66066066066066,1.9754705317737196e-12
30.74074074074074,3.716855357698311e-13,30.74074074074074,3.718484529225244e-13,30.74074074074074,3.717651463412478e-13,30.74074074074074,1.0091967804548693e-11
30.82082082082082,4.7593817416666513e-14,30.82082082082082,4.876072028018094e-14,30.82082082082082,4.816596606758944e-14,30.82082082082082,4.801238887486352e-11
30.9009009009009,5.675189888961123e-15,30.9009009009009,1.3447930316984518e-14,30.9009009009009,9.48650253333743e-15,30.9009009009009,2.1270910362096582e-10
30.98098098098098,6.301808944819832e-16,30.98098098098098,4.884251578036738e-14,30.98098098098098,2.4270810862356848e-14,30.98098098098098,8.775539468005957e-10
31.06106106106106,6.516359637430242e-17,31.06106106106106,2.7854705206568297e-13,31.06106106106106,1.3661709415738528e-13,31.06106106106106,3.3714486394286363e-09
